name,baseMean,baseMeanA,baseMeanB,foldChange,log2FoldChange,logCPM,PValue,PAdj_hoc,FDR,falsePos,WT_rep1,WT_rep2,SMC4KD_rep1,SMC4KD_rep2
PBANKA_0514300,11373.725,14935.65,7811.8,0.523058332654337,-0.934956246812254,8.54521130865604,0.00127914932410464,1,0.061883505650616,6.37400108201344,13822.8,16048.5,8449.5,7174.1
PBANKA_1108500,22608.225,29762.1,15454.35,0.51925055682773,-0.945497236716477,9.53636568337248,0.00129464340638204,1,0.0620308470577088,6.45120809400172,33128.9,26395.3,16186.3,14722.4
PBANKA_1356000,767.25,1012.4,522.1,0.515782460292859,-0.955165381238247,4.65721775884506,0.00133951889568151,1,0.0635697395921997,6.67482265718097,1024.9,999.9,540.9,503.3
PBANKA_MIT01000,54.2,22.05,86.35,3.74978633655497,1.90680839294865,0.922515655958344,0.00135696975134556,1,0.063790379914669,6.76178027095491,33.4,10.7,45.5,127.2
PBANKA_0926500,14645.625,19232.4,10058.85,0.523001563805643,-0.935112834665103,8.91003193869294,0.00139662521048591,1,0.0644620397294462,6.89743825105074,21117.4,17347.4,10835.5,9282.2
PBANKA_0110500,18202.275,23827.1,12577.45,0.52786187101386,-0.921767635141147,9.2236327119316,0.00139713030118005,1,0.0644620397294462,6.96190029078019,24574.4,23079.8,13463.7,11691.2
PBANKA_0701200,1856.5,2451.4,1261.6,0.514635444869037,-0.958377270587169,5.93111639488159,0.00148716500518163,1,0.067986635053395,7.41054322082005,2650,2252.8,1547.2,976
PBANKA_0502500,23396.575,30515.15,16278,0.533437791031921,-0.906608059644102,9.58578845314124,0.00151178260938253,1,0.0684837522050284,7.53321274255313,31308.7,29721.6,16132.2,16423.8
PBANKA_0309400,868.425,1147.3,589.55,0.513472992707993,-0.961639698209345,4.83648105783089,0.00154968582637557,1,0.0695683285840491,7.72208447282945,1302.4,992.2,595.9,583.2
PBANKA_1108100,758.975,998.25,519.7,0.520637155135464,-0.941649821914199,4.6415954579704,0.00159463888406295,1,0.0709471924936221,7.94608555928567,1015,981.5,532.3,507.1
PBANKA_0208800,4958.825,6454.6,3463.05,0.536536069408811,-0.898252933396628,7.34782175901849,0.00161498345344152,1,0.0711368471132852,8.03846372380123,6618.6,6290.6,3856.8,3069.3
PBANKA_0720100,5659.575,7419.65,3899.5,0.525582184390571,-0.928011721295206,7.53845486516122,0.00162761638679399,1,0.0711368471132852,8.10960057091451,7519.7,7319.6,4506.8,3292.2
PBANKA_0914100,2237.075,2900.8,1573.35,0.542174944379308,-0.883169651676609,6.20019885101151,0.00164910785741819,1,0.0711368471132852,8.1807374180278,3349.5,2452.1,1633.9,1512.8
PBANKA_1402300,2537.5,3382.8,1692.2,0.500515718474602,-0.998512717915453,6.38073528048498,0.00165600527094945,1,0.0711368471132852,8.25187426514109,2450.2,4315.4,1589.3,1795.1
PBANKA_1109700,3963.25,5136.35,2790.15,0.543305961797911,-0.880163216828814,7.02445814623013,0.00168966292132457,1,0.0719623105723104,8.41959033696031,4781.1,5491.6,3039.4,2540.9
PBANKA_0802300,10982,14282,7682,0.537895650579607,-0.894601771534562,8.49466536297072,0.00176231677036258,1,0.0744205463281077,8.78162446671671,13539.9,15024.1,7249.2,8114.8
PBANKA_1339500,1048.675,1437.25,660.1,0.45899429456245,-1.12345187427141,5.10879104072657,0.00180868074626198,1,0.0757366063749868,9.01265615862343,1819.4,1055.1,812.2,508
PBANKA_1418100,4537.325,5880.9,3193.75,0.543014864542822,-0.880936403839874,7.21979543149819,0.00185005902744815,1,0.0759422675721583,9.113072108659,6464.9,5296.9,3333.1,3054.4
PBANKA_1452300,3274.825,2274.25,4275.4,1.87941874449247,0.910286542701047,6.75026269603257,0.00185699382491559,1,0.0759422675721583,9.18901437623116,2412.3,2136.2,3453.3,5097.5
PBANKA_0311400,7632.4,9920.05,5344.75,0.538796427396592,-0.892187810149336,7.96982586770102,0.00185931299293665,1,0.0759422675721583,9.26495664380331,9916.5,9923.6,5763.8,4925.7
PBANKA_1121000,8140.625,10630.95,5650.3,0.53147323353542,-0.91193105942091,8.06288471295884,0.00188338675590499,1,0.0762734278052028,9.38163162003994,11657.3,9604.6,6115.8,5184.8
PBANKA_1032200,2525.375,3265.9,1784.85,0.546398420338772,-0.871974782146463,6.37486557879355,0.00189803432627838,1,0.0762734278052028,9.45790504784514,3648.7,2883.1,1924.1,1645.6
PBANKA_0615500,4784.375,6213,3355.75,0.540114129083227,-0.888663806009262,7.29620518331275,0.00199747855894695,1,0.0790164886234909,9.87706107793636,6521.9,5904.1,3777.8,2933.7
PBANKA_1009200,18476.25,24183.9,12768.6,0.527968189115668,-0.921477087249879,9.24520490235173,0.0019980087430383,1,0.0790164886234909,9.95607756655985,26519.4,21848.4,14219.3,11317.9
PBANKA_1025100,3079.4,4057.95,2100.85,0.517564371678276,-0.950189787008646,6.66100109073622,0.00201571774243419,1,0.0790891457523589,10.0443215105496,4887.8,3228.1,2431.6,1770.1
PBANKA_0510800,3476.625,4447.65,2505.6,0.56334929807446,-0.827898369137081,6.83565161275513,0.0020444145529218,1,0.0795884196656978,10.1873177172093,4530.8,4364.5,2571.5,2439.7
PBANKA_1016200,2119.25,2716.6,1521.9,0.560075532655872,-0.836306690503283,6.12202937638777,0.00207437905858335,1,0.080128921309464,10.3366308489209,2962.7,2470.5,1564.4,1479.4
PBANKA_0520900,4474.1,3070.95,5877.25,1.91389145482556,0.936509010583883,7.20001924228468,0.00223706687830275,1,0.08574849426602,11.1473042545826,2949.1,3192.8,4560,7194.5
PBANKA_1123500,7525.025,9801.35,5248.7,0.53546331613896,-0.901140353594788,7.94948862352642,0.00232006068361904,1,0.0872413787168059,11.4286206119016,11071.6,8531.1,5592.1,4905.3
PBANKA_1353100,10188.975,13505.75,6872.2,0.508805300360462,-0.974814395247948,8.38667571103281,0.00232636568193395,1,0.0872413787168059,11.5158619906184,15953.1,11058.4,8079.4,5665
PBANKA_1121800,817.725,1065.95,569.5,0.534401397961837,-0.904004313067216,4.74892674281452,0.0023378055676654,1,0.0872413787168059,11.6031033693352,1053.8,1078.1,597.6,541.4
PBANKA_0621600,1305,1693.25,916.75,0.541475395995176,-0.885032309929444,5.42274361801946,0.0023460455043251,1,0.0872413787168059,11.690344748052,1707.3,1679.2,1020.9,812.6
PBANKA_0927200,1298.15,1705.95,890.35,0.521524555218207,-0.939192913364682,5.41595057700991,0.00251796050076425,1,0.0917958012620794,12.3924331703807,2056.2,1355.7,940.2,840.5
PBANKA_1329800,752.825,1030.45,475.2,0.46187488866184,-1.11442598340022,4.62662694065083,0.00253049885376451,1,0.0917958012620794,12.4842289716428,691.4,1369.5,417.3,533.1
PBANKA_0710900,1929,1349,2509,1.86034313590322,0.895568747574485,5.98740769369546,0.00254075087368866,1,0.0917958012620794,12.5760247729049,1262.6,1435.4,1975.6,3042.4
